age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42.0, Self-emp-not-inc,88040.31, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,4356.0,40.0, United-States, <=50K
54.0, Private,53069.22, Bachelors,14.0, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Japan, <=50K
26.0, Private,205979.25, HS-grad,9.0, Married-spouse-absent, Sales, Not-in-family, White, Female,0.0,0.0,10.0, Mexico, <=50K
39.0, Private,180399.73, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, ?, >50K
25.0, Self-emp-inc,13492.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,56.0, United-States, <=50K
46.0, Private,13492.0, 11th,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
41.0, Private,173672.17, HS-grad,9.0, Divorced, Transport-moving, Own-child, White, Male,99999.0,0.0,30.0, United-States, >50K
23.0, Local-gov,122264.08, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
44.0, Federal-gov,27169.305, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
39.0, Local-gov,13492.0, Assoc-voc,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,4356.0,40.0, United-States, <=50K
34.0, Self-emp-inc,13492.0, Prof-school,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
90.0, Self-emp-inc,13492.0, 7th-8th,6.2766514, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
40.0, State-gov,126211.4, Bachelors,14.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,40.0, ?, >50K
25.0, Private,40203.438, Bachelors,12.0, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,1.0, India, <=50K
34.0, Self-emp-inc,146301.53, Masters,16.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,99.0, United-States, <=50K
41.10512, Private,252884.92, HS-grad,9.0, Never-married, Priv-house-serv, Not-in-family, Black, Female,0.0,0.0,1.0, United-States, <=50K
43.0, Self-emp-not-inc,13492.0, 7th-8th,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
61.0, Private,203466.27, Some-college,11.0, Widowed, Adm-clerical, Unmarried, Other, Female,0.0,0.0,40.0, United-States, <=50K
17.0, Private,204313.58, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Private,192891.86, Assoc-voc,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,13492.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
43.0, Federal-gov,53280.656, Some-college,12.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
64.0, Self-emp-not-inc,38033.363, 7th-8th,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
38.0, Private,239388.14, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, Black, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
44.073135, ?,135917.53, Prof-school,13.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,1.0, United-States, >50K
76.0, Private,151276.2, HS-grad,9.0, Divorced, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
34.0, ?,135310.7, Bachelors,13.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
28.0, Private,117942.766, 1st-4th,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,35.0, Puerto-Rico, <=50K
43.0, Private,179191.12, 7th-8th,7.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
46.0, Self-emp-inc,179934.06, Bachelors,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
31.0, Self-emp-not-inc,13492.0, Assoc-voc,12.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
33.0, Private,219158.8, Assoc-voc,11.0, Married-civ-spouse, Tech-support, Wife, White, Male,0.0,0.0,40.0, United-States, <=50K
37.0, Private,175877.31, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0.0,0.0,40.0, United-States, >50K
35.0, Private,158832.31, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,213341.39, 11th,9.0, Separated, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,20.0, United-States, <=50K
30.0, Private,79750.02, HS-grad,9.0, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,35.0, United-States, <=50K
43.0, Private,60730.918, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
38.0, Local-gov,178394.48, HS-grad,9.0, Separated, Protective-serv, Other-relative, Black, Male,0.0,0.0,64.185745, United-States, <=50K
60.0, Self-emp-inc,206704.02, Assoc-acdm,13.0, Divorced, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
26.0, ?,13492.0, Bachelors,12.0, Never-married, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Private,86200.13, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,40.0, Vietnam, >50K
44.0, Private,142363.33, 1st-4th,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,50.0, Puerto-Rico, <=50K
17.0, ?,174385.44, HS-grad,9.0, Never-married, ?, Own-child, White, Male,0.0,0.0,32.0, United-States, <=50K
19.0, Private,187671.11, HS-grad,9.0, Never-married, Sales, Own-child, Black, Female,0.0,0.0,40.0, United-States, <=50K
44.0, Self-emp-not-inc,52940.555, Bachelors,13.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
27.0, Private,155996.0, Bachelors,13.0, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, South, <=50K
40.0, Private,13492.0, 11th,4.0, Never-married, Machine-op-inspct, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
47.0, ?,165458.61, Some-college,13.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,1.0, United-States, <=50K
17.0, Private,147367.05, Assoc-acdm,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, Cuba, <=50K
25.0, Federal-gov,126724.45, HS-grad,9.0, Never-married, Protective-serv, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Local-gov,13492.0, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
25.0, Private,182686.11, Masters,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
23.0, Private,121663.21, Assoc-voc,12.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,37.0, United-States, >50K
21.205145, Private,195720.92, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
59.0, Private,47122.824, 7th-8th,4.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,25.0, United-States, <=50K
43.0, ?,1210504.0, 12th,9.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,20.0, United-States, >50K
45.0, State-gov,158765.42, Masters,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
28.0, Self-emp-inc,103580.45, Bachelors,13.0, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,45.0, United-States, <=50K
36.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,4356.0,40.0, United-States, >50K
43.0, Local-gov,155600.17, Masters,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
39.0, Private,135429.17, 12th,9.0, Widowed, Adm-clerical, Not-in-family, Black, Female,0.0,0.0,20.0, United-States, <=50K
38.0, Private,13492.0, 7th-8th,4.0, Never-married, Handlers-cleaners, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
25.0, Local-gov,168910.5, Masters,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999.0,0.0,60.0, United-States, <=50K
37.0, Private,175079.47, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,4356.0,99.0, United-States, >50K
90.0, Private,13492.0, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,15.0, United-States, <=50K
33.0, Private,354100.5, Assoc-voc,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
52.0, Private,170577.36, Bachelors,13.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,45.0, United-States, >50K
31.0, Private,109544.49, Assoc-voc,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
37.0, Private,52102.348, Bachelors,13.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,4356.0,45.0, United-States, <=50K
40.0, Private,13492.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
26.0, Private,103920.72, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
46.0, Private,98189.2, Masters,16.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,2361.5046,99.0, United-States, >50K
17.0, Private,193024.42, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
29.0, Self-emp-not-inc,180523.86, Prof-school,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999.0,0.0,40.0, United-States, >50K
58.0, Local-gov,131028.984, Some-college,10.0, Divorced, Protective-serv, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
17.0, Private,174214.31, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
31.0, Private,215024.72, Assoc-voc,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
29.0, Private,119390.99, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
53.0, Private,137013.28, HS-grad,9.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
90.0, Private,1210504.0, Some-college,9.0, Never-married, Exec-managerial, Not-in-family, Black, Female,0.0,0.0,40.0, United-States, <=50K
36.0, Private,149995.94, Bachelors,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,4356.0,40.0, United-States, >50K
17.0, Private,176774.56, 11th,1.0, Never-married, Handlers-cleaners, Own-child, Black, Male,0.0,0.0,40.0, Dominican-Republic, <=50K
42.0, Private,149074.73, Assoc-voc,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
33.0, Local-gov,158521.08, Masters,16.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,30.0, United-States, <=50K
39.0, Private,134617.27, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
42.0, Private,120690.164, HS-grad,9.0, Separated, Other-service, Not-in-family, White, Female,0.0,0.0,2.0, Mexico, <=50K
29.0, Private,79976.62, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
49.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
33.0, Local-gov,212498.86, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
41.022552, Private,181168.17, Doctorate,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,99999.0,0.0,40.0, United-States, >50K
48.0, Self-emp-inc,163715.77, Prof-school,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, ?, >50K
55.0, State-gov,143613.27, Masters,14.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
22.0, Private,206403.2, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
41.0, Local-gov,137871.19, HS-grad,9.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,4356.0,50.0, England, >50K
23.0, Private,160113.73, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
44.0, Private,13492.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,33.0, United-States, <=50K
41.0, Private,50961.367, HS-grad,9.0, Divorced, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Private,195605.39, Bachelors,13.0, Never-married, Tech-support, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
33.0, Federal-gov,13492.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,35.0, United-States, >50K
45.0, Self-emp-not-inc,1210504.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
25.0, Private,51060.918, Assoc-acdm,13.0, Never-married, Tech-support, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
17.0, State-gov,168665.89, Some-college,10.0, Never-married, Prof-specialty, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
35.0, Local-gov,197987.12, Some-college,10.0, Divorced, Tech-support, Unmarried, White, Female,0.0,0.0,1.0, United-States, <=50K
28.0, Private,190932.55, Some-college,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,36.0, United-States, <=50K
42.0, Self-emp-not-inc,81900.34, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,47632.406, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
40.0, Private,87037.78, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
90.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,40.0, United-States, >50K
17.0, State-gov,186880.3, Doctorate,14.0, Never-married, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
38.0, Self-emp-not-inc,13492.0, Assoc-voc,11.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Private,13492.0, Assoc-voc,11.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
32.0, Self-emp-inc,266991.8, Bachelors,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
37.0, Private,13492.0, Some-college,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
50.0, Private,92455.266, 7th-8th,1.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,40.0, Puerto-Rico, <=50K
36.0, Private,56427.605, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, ?,97375.414, 12th,1.0, Never-married, ?, Own-child, White, Male,0.0,0.0,8.0, United-States, <=50K
59.0, Private,193555.42, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Black, Female,0.0,0.0,40.0, United-States, <=50K
17.0, Private,217307.61, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,1.0, United-States, <=50K
32.0, Private,140872.39, Assoc-acdm,13.0, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,99999.0,0.0,40.0, India, >50K
33.0, Local-gov,250195.1, Bachelors,13.0, Divorced, Tech-support, Not-in-family, White, Male,0.0,0.0,20.0, United-States, <=50K
61.0, Self-emp-inc,13492.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Male,0.0,0.0,48.0, United-States, <=50K
28.0, Private,185386.69, HS-grad,9.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
28.0, Private,177803.95, Masters,16.0, Never-married, Exec-managerial, Not-in-family, White, Male,27743.178,0.0,24.0, United-States, >50K
34.0, Self-emp-inc,13492.0, Assoc-voc,12.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,4356.0,45.0, United-States, >50K
17.0, Private,222977.67, 12th,8.0, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,0.0,15.0, United-States, <=50K
90.0, ?,141160.55, Assoc-voc,13.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,1.0, United-States, >50K
35.0, Private,170221.27, Some-college,10.0, Separated, Tech-support, Not-in-family, Black, Female,0.0,0.0,1.5128138, United-States, <=50K
17.0, Local-gov,126680.13, Some-college,10.0, Never-married, Adm-clerical, Other-relative, Black, Female,0.0,0.0,40.0, United-States, <=50K
37.0, ?,79555.73, Some-college,13.0, Married-spouse-absent, ?, Wife, White, Female,0.0,0.0,1.0, United-States, <=50K
28.0, Private,13492.0, HS-grad,9.0, Divorced, Machine-op-inspct, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
35.0, Local-gov,147355.28, HS-grad,9.0, Never-married, Adm-clerical, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Local-gov,110365.29, Bachelors,12.0, Widowed, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
18.0, Private,160962.8, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,28.0, Ecuador, <=50K
35.0, ?,101406.98, Some-college,9.0, Never-married, ?, Own-child, White, Female,0.0,0.0,1.0, United-States, <=50K
34.0, Private,102811.34, Some-college,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,50.0, United-States, <=50K
40.0, ?,111338.65, Bachelors,13.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,1.0, Cuba, <=50K
47.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,48.0, United-States, >50K
44.0, Private,13492.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,20.0, United-States, >50K
17.0, Local-gov,13492.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
51.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico, >50K
41.0, Private,123369.78, Some-college,11.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
35.0, Private,13492.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
46.0, Private,153781.89, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
17.0, Private,201212.66, Assoc-voc,10.0, Divorced, Sales, Unmarried, White, Female,99999.0,0.0,40.0, United-States, >50K
34.0, Private,57694.85, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999.0,0.0,40.0, United-States, >50K
56.0, Private,13492.0, 7th-8th,1.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,179416.36, Some-college,10.0, Never-married, Sales, Own-child, Other, Male,0.0,4356.0,40.0, United-States, <=50K
34.0, Private,165413.28, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,45.0, United-States, >50K
42.0, Local-gov,50492.31, 11th,9.0, Widowed, Priv-house-serv, Not-in-family, White, Female,0.0,0.0,1.0, United-States, <=50K
44.0, Private,29839.768, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,262498.25, Bachelors,13.0, Never-married, Sales, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0.0,0.0,40.0, United-States, <=50K
29.0, Private,188652.11, 7th-8th,6.6796756, Never-married, Craft-repair, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,29846.387, Bachelors,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
42.0, Private,311557.5, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
44.358856, Self-emp-not-inc,95649.09, Doctorate,12.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
36.0, State-gov,192169.23, 12th,7.0, Widowed, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
25.426416, Private,191482.61, Doctorate,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,48.0, United-States, >50K
